type,mean_1,stddev_1,mean_2,stddev_2,results,time,age,gender,smoker,background,date,condition,experiment,ID
Experiment,0.2,0.45,0.2,0.1,4,4.231,,,,,,T1,,4
Control,0.2,0.1,0.3,0.1,4,3.487,,,,,,T1,,4
Experiment,0.3,0.02,0.3,0.1,4,3.599,,,,,,T1,,4
Diversion,0.2,0.1,0.2,0.45,5,2.666,,,,,,T1,,4
Experiment,-0.3,0.45,-0.3,0.1,2,2.943,,,,,,T1,,4
Experiment,0.2,0.02,0.2,0.1,4,3.199,,,,,,T1,,4
Experiment,0.0,0.45,0.0,0.1,3,6.037,,,,,,T1,,5
Experiment,0.2,0.45,0.2,0.1,3,5.585,,,,,,T1,,5
Experiment,0.0,0.02,0.0,0.1,4,4.721,,,,,,T1,,5
Diversion,0.2,0.1,0.2,0.45,5,3.386,,,,,,T1,,5
Experiment,-0.1,0.02,-0.1,0.1,4,4.029,,,,,,T1,,5
Experiment,0.1,0.45,0.1,0.1,3,3.691,,,,,,T1,,5
Control,0.2,0.1,0.2,0.1,4,3.709,,,,,,T1,,5
Experiment,0.0,0.02,0.0,0.1,4,3.271,,,,,,T1,,5
Experiment,-0.2,0.45,-0.2,0.1,3,3.511,,,,,,T1,,5
Experiment,0.3,0.02,0.3,0.1,4,3.248,,,,,,T1,,5
Experiment,0.2,0.02,0.2,0.1,3,4.119,,,,,,T1,,5
Experiment,0.1,0.02,0.1,0.1,4,3.24,,,,,,T1,,5
Control,0.2,0.1,0.2,0.1,3,4.154,,,,,,T1,,5
Experiment,-0.1,0.45,-0.1,0.1,3,3.734,,,,,,T1,,5
Control,0.2,0.1,0.2,0.1,4,3.802,,,,,,T1,,5
Experiment,-0.3,0.02,-0.3,0.1,3,3.749,,,,,,T1,,5
Experiment,0.3,0.45,0.3,0.1,3,3.334,,,,,,T1,,5
Experiment,0.0,0.45,0.0,0.1,3,3.749,,,,,,T1,,5
Experiment,-0.3,0.45,-0.3,0.1,3,3.134,,,,,,T1,,5
Control,0.2,0.1,0.2,0.1,3,3.104,,,,,,T1,,5
Experiment,-0.2,0.02,-0.2,0.1,3,3.329,,,,,,T1,,5
Experiment,0.3,0.02,0.3,0.1,4,12.813,,,,,,T1,,6
Experiment,-0.1,0.02,-0.1,0.1,3,5.806,,,,,,T1,,6
Control,0.2,0.1,0.0,0.1,3,8.716,,,,,,T1,,6
Diversion,0.2,0.1,0.2,0.45,5,7.219,,,,,,T1,,6
Control,0.2,0.1,0.0,0.1,4,5.162,,,,,,T1,,6
Control,0.2,0.1,0.0,0.1,3,6.901,,,,,,T1,,6
Experiment,0.1,0.45,0.1,0.1,2,6.043,,,,,,T1,,6
Experiment,-0.2,0.45,-0.2,0.1,2,8.46,,,,,,T1,,6
Experiment,0.2,0.02,0.2,0.1,3,8.612,,,,,,T1,,6
Experiment,0.1,0.02,0.1,0.1,3,7.931,,,,,,T1,,6
Experiment,-0.2,0.02,-0.2,0.1,3,10.577,,,,,,T1,,6
Experiment,0.0,0.02,0.0,0.1,4,8.108,,,,,,T1,,6
Experiment,-0.1,0.45,-0.1,0.1,3,7.714,,,,,,T1,,6
Experiment,0.0,0.45,0.0,0.1,2,4.235,,,,,,T1,,6
Experiment,0.2,0.45,0.2,0.1,3,7.411,,,,,,T1,,6
Experiment,0.0,0.02,0.0,0.1,2,8.437,,,,,,T1,,6
Experiment,-0.3,0.02,-0.3,0.1,3,7.297,,,,,,T1,,6
Experiment,0.0,0.45,0.0,0.1,2,5.975,,,,,,T1,,6
Control,0.2,0.1,0.0,0.1,3,7.063,,,,,,T1,,6
Experiment,0.3,0.45,0.3,0.1,2,6.218,,,,,,T1,,6
Experiment,-0.3,0.45,-0.3,0.1,2,8.517,,,,,,T1,,6
Experiment,0.0,0.45,0.0,0.1,3,9.568,,,,,,T1,,7
Experiment,0.0,0.02,0.0,0.1,4,13.619,,,,,,T1,,7
Experiment,-0.3,0.02,-0.3,0.1,3,6.771,,,,,,T1,,7
Experiment,0.0,0.45,0.0,0.1,3,8.722,,,,,,T1,,7
Experiment,0.2,0.02,0.2,0.1,3,6.885,,,,,,T1,,7
Control,-0.1,0.1,0.3,0.1,3,6.711,,,,,,T1,,7
Control,-0.1,0.1,0.3,0.1,3,3.831,,,,,,T1,,7
Control,-0.1,0.1,0.3,0.1,3,7.893,,,,,,T1,,7
Experiment,-0.1,0.02,-0.1,0.1,3,9.291,,,,,,T1,,7
Experiment,-0.3,0.45,-0.3,0.1,4,12.289,,,,,,T1,,7
Experiment,0.0,0.02,0.0,0.1,3,9.107,,,,,,T1,,7
Experiment,-0.1,0.45,-0.1,0.1,3,7.919,,,,,,T1,,7
Experiment,0.2,0.45,0.2,0.1,3,8.577,,,,,,T1,,7
Experiment,0.3,0.45,0.3,0.1,3,8.094,,,,,,T1,,7
Diversion,-0.1,0.1,-0.1,0.45,5,6.683,,,,,,T1,,7
Experiment,-0.2,0.45,-0.2,0.1,3,6.7,,,,,,T1,,7
Experiment,0.1,0.02,0.1,0.1,4,10.992,,,,,,T1,,7
Experiment,0.3,0.02,0.3,0.1,4,8.49,,,,,,T1,,7
Control,-0.1,0.1,0.3,0.1,3,12.011,,,,,,T1,,7
Experiment,-0.2,0.02,-0.2,0.1,3,9.122,,,,,,T1,,7
Experiment,0.1,0.45,0.1,0.1,3,6.979,,,,,,T1,,7
Control,0.0,0.1,0.3,0.1,4,7.435,,,,,,T1,,8
Experiment,0.0,0.02,0.0,0.1,5,8.479,,,,,,T1,,8
Diversion,0.0,0.1,0.0,0.45,5,9.432,,,,,,T1,,8
Experiment,0.0,0.02,0.0,0.1,4,8.523,,,,,,T1,,8
Experiment,0.3,0.02,0.3,0.1,4,8.373,,,,,,T1,,8
Experiment,-0.3,0.45,-0.3,0.1,3,10.325,,,,,,T1,,8
Experiment,-0.1,0.02,-0.1,0.1,4,11.223,,,,,,T1,,8
Experiment,-0.2,0.45,-0.2,0.1,3,10.897,,,,,,T1,,8
Experiment,-0.1,0.45,-0.1,0.1,3,10.658,,,,,,T1,,8
Experiment,0.1,0.45,0.1,0.1,2,10.577,,,,,,T1,,8
Experiment,0.1,0.02,0.1,0.1,3,10.329,,,,,,T1,,8
Experiment,0.0,0.45,0.0,0.1,3,11.252,,,,,,T1,,8
Experiment,0.2,0.45,0.2,0.1,2,10.104,,,,,,T1,,8
Experiment,0.0,0.45,0.0,0.1,2,8.721,,,,,,T1,,8
Experiment,-0.3,0.02,-0.3,0.1,3,11.198,,,,,,T1,,8
Experiment,-0.2,0.02,-0.2,0.1,3,10.217,,,,,,T1,,8
Control,0.0,0.1,0.3,0.1,3,10.096,,,,,,T1,,8
Experiment,0.2,0.02,0.2,0.1,4,9.488,,,,,,T1,,8
Control,0.0,0.1,0.3,0.1,3,10.268,,,,,,T1,,8
Experiment,0.3,0.45,0.3,0.1,3,10.447,,,,,,T1,,8
Control,0.0,0.1,0.3,0.1,3,9.318,,,,,,T1,,8
Experiment,0.0,0.45,0.0,0.1,2,4.243,,,,,,T1,,9
Experiment,0.0,0.45,0.0,0.1,2,4.492,,,,,,T1,,9
Experiment,-0.1,0.45,-0.1,0.1,3,4.334,,,,,,T1,,9
Control,-0.1,0.1,-0.1,0.1,3,5.103,,,,,,T1,,9
Control,-0.1,0.1,-0.1,0.1,3,7.164,,,,,,T1,,9
Experiment,-0.1,0.02,-0.1,0.1,3,7.463,,,,,,T1,,9
Experiment,-0.3,0.45,-0.3,0.1,2,4.729,,,,,,T1,,9
Experiment,0.0,0.02,0.0,0.1,3,8.022,,,,,,T1,,9
Experiment,0.1,0.02,0.1,0.1,3,9.966,,,,,,T1,,9
Experiment,-0.2,0.02,-0.2,0.1,3,6.712,,,,,,T1,,9
Control,-0.1,0.1,-0.1,0.1,2,8.453,,,,,,T1,,9
Experiment,-0.3,0.02,-0.3,0.1,3,5.734,,,,,,T1,,9
Experiment,0.3,0.02,0.3,0.1,3,6.88,,,,,,T1,,9
Experiment,0.2,0.45,0.2,0.1,3,5.902,,,,,,T1,,9
Experiment,0.1,0.45,0.1,0.1,2,4.613,,,,,,T1,,9
Experiment,0.0,0.02,0.0,0.1,2,7.273,,,,,,T1,,9
Experiment,0.2,0.02,0.2,0.1,3,6.982,,,,,,T1,,9
Control,-0.1,0.1,-0.1,0.1,2,5.741,,,,,,T1,,9
Experiment,0.3,0.45,0.3,0.1,2,6.281,,,,,,T1,,9
Diversion,-0.1,0.1,-0.1,0.45,5,4.125,,,,,,T1,,9
Experiment,-0.2,0.45,-0.2,0.1,3,3.882,,,,,,T1,,9
Experiment,-0.1,0.45,-0.1,0.1,2,2.578,,,,,,T1,,10
Experiment,0.1,0.02,0.1,0.1,4,3.031,,,,,,T1,,10
Experiment,-0.1,0.02,-0.1,0.1,3,3.747,,,,,,T1,,10
Experiment,0.2,0.45,0.2,0.1,2,3.962,,,,,,T1,,10
Experiment,-0.2,0.02,-0.2,0.1,3,3.843,,,,,,T1,,10
Control,-0.3,0.1,-0.2,0.1,4,4.083,,,,,,T1,,10
Experiment,-0.3,0.45,-0.3,0.1,3,3.566,,,,,,T1,,10
Experiment,0.0,0.02,0.0,0.1,3,4.152,,,,,,T1,,10
Experiment,0.3,0.02,0.3,0.1,4,3.83,,,,,,T1,,10
Control,-0.3,0.1,-0.2,0.1,4,4.724,,,,,,T1,,10
Experiment,0.0,0.02,0.0,0.1,3,3.583,,,,,,T1,,10
Experiment,0.2,0.02,0.2,0.1,4,3.542,,,,,,T1,,10
Control,-0.3,0.1,-0.2,0.1,3,3.848,,,,,,T1,,10
Experiment,0.1,0.45,0.1,0.1,3,3.517,,,,,,T1,,10
Experiment,-0.3,0.02,-0.3,0.1,3,4.2,,,,,,T1,,10
Experiment,-0.2,0.45,-0.2,0.1,2,3.711,,,,,,T1,,10
Experiment,0.0,0.45,0.0,0.1,2,3.41,,,,,,T1,,10
Control,-0.3,0.1,-0.2,0.1,4,3.899,,,,,,T1,,10
Experiment,0.3,0.45,0.3,0.1,2,3.275,,,,,,T1,,10
Diversion,-0.3,0.1,-0.3,0.45,5,3.413,,,,,,T1,,10
Experiment,0.0,0.45,0.0,0.1,1,3.244,,,,,,T1,,10
Experiment,0.0,0.02,0.0,0.1,5,2.785,,,,,,T1,,11
Experiment,-0.1,0.02,-0.1,0.1,5,3.74,,,,,,T1,,11
Experiment,0.0,0.45,0.0,0.1,4,3.496,,,,,,T1,,11
Experiment,0.2,0.02,0.2,0.1,4,3.606,,,,,,T1,,11
Experiment,-0.3,0.45,-0.3,0.1,4,3.768,,,,,,T1,,11
Experiment,0.1,0.45,0.1,0.1,4,3.681,,,,,,T1,,11
Control,-0.3,0.1,0.0,0.1,4,4.383,,,,,,T1,,11
Experiment,0.0,0.02,0.0,0.1,5,3.911,,,,,,T1,,11
Experiment,0.2,0.45,0.2,0.1,4,2.668,,,,,,T1,,11
Experiment,-0.3,0.02,-0.3,0.1,3,4.539,,,,,,T1,,11
Experiment,-0.1,0.45,-0.1,0.1,3,2.822,,,,,,T1,,11
Control,-0.3,0.1,0.0,0.1,4,3.474,,,,,,T1,,11
Experiment,-0.2,0.02,-0.2,0.1,5,4.06,,,,,,T1,,11
Experiment,-0.2,0.45,-0.2,0.1,4,2.924,,,,,,T1,,11
Experiment,0.3,0.02,0.3,0.1,4,2.826,,,,,,T1,,11
Experiment,0.1,0.02,0.1,0.1,4,2.787,,,,,,T1,,11
Control,-0.3,0.1,0.0,0.1,3,3.077,,,,,,T1,,11
Experiment,0.0,0.45,0.0,0.1,4,3.968,,,,,,T1,,11
Diversion,-0.3,0.1,-0.3,0.45,5,2.409,,,,,,T1,,11
Experiment,0.3,0.45,0.3,0.1,4,2.692,,,,,,T1,,11
Control,-0.3,0.1,0.0,0.1,4,2.739,,,,,,T1,,11
Experiment,-0.3,0.02,-0.3,0.1,3,5.377,,,,,,T1,,12
Experiment,-0.1,0.02,-0.1,0.1,4,7.754,,,,,,T1,,12
Experiment,0.1,0.45,0.1,0.1,0,4.5,,,,,,T1,,12
Experiment,0.0,0.45,0.0,0.1,2,4.939,,,,,,T1,,12
Experiment,0.1,0.02,0.1,0.1,3,4.957,,,,,,T1,,12
Experiment,0.2,0.02,0.2,0.1,3,6.838,,,,,,T1,,12
Experiment,0.0,0.45,0.0,0.1,2,3.762,,,,,,T1,,12
Experiment,0.3,0.02,0.3,0.1,3,6.997,,,,,,T1,,12
Experiment,0.0,0.02,0.0,0.1,4,7.154,,,,,,T1,,12
Control,0.0,0.1,0.2,0.1,4,7.652,,,,,,T1,,12
Experiment,-0.2,0.45,-0.2,0.1,2,4.2,,,,,,T1,,12
Experiment,-0.1,0.45,-0.1,0.1,2,4.257,,,,,,T1,,12
Experiment,-0.3,0.45,-0.3,0.1,2,5.414,,,,,,T1,,12
Experiment,0.0,0.02,0.0,0.1,3,5.683,,,,,,T1,,12
Experiment,0.2,0.45,0.2,0.1,2,5.706,,,,,,T1,,12
Control,0.0,0.1,0.2,0.1,3,6.399,,,,,,T1,,12
Control,0.0,0.1,0.2,0.1,3,6.651,,,,,,T1,,12
Experiment,-0.2,0.02,-0.2,0.1,3,5.624,,,,,,T1,,12
Control,0.0,0.1,0.2,0.1,3,5.721,,,,,,T1,,12
Experiment,0.3,0.45,0.3,0.1,2,5.898,,,,,,T1,,12
Diversion,0.0,0.1,0.0,0.45,5,3.912,,,,,,T1,,12
Control,0.3,0.1,-0.1,0.1,2,5.586,,,,,,T1,,13
Control,0.3,0.1,-0.1,0.1,3,5.703,,,,,,T1,,13
Experiment,0.3,0.02,0.3,0.1,4,5.442,,,,,,T1,,13
Experiment,0.0,0.45,0.0,0.1,3,6.879,,,,,,T1,,13
Experiment,0.2,0.02,0.2,0.1,3,5.884,,,,,,T1,,13
Control,0.3,0.1,-0.1,0.1,2,4.497,,,,,,T1,,13
Control,0.3,0.1,-0.1,0.1,4,7.028,,,,,,T1,,13
Experiment,0.0,0.45,0.0,0.1,2,6.684,,,,,,T1,,13
Experiment,0.0,0.02,0.0,0.1,4,5.485,,,,,,T1,,13
Experiment,-0.1,0.45,-0.1,0.1,4,4.638,,,,,,T1,,13
Diversion,0.3,0.1,0.3,0.45,5,4.307,,,,,,T1,,13
Experiment,0.0,0.02,0.0,0.1,4,7.856,,,,,,T1,,13
Experiment,0.1,0.02,0.1,0.1,3,5.706,,,,,,T1,,13
Experiment,-0.3,0.02,-0.3,0.1,3,8.389,,,,,,T1,,13
Experiment,0.2,0.45,0.2,0.1,2,4.558,,,,,,T1,,13
Experiment,-0.1,0.02,-0.1,0.1,4,6.018,,,,,,T1,,13
Experiment,-0.3,0.45,-0.3,0.1,2,6.005,,,,,,T1,,13
Experiment,0.1,0.45,0.1,0.1,3,5.075,,,,,,T1,,13
Experiment,-0.2,0.45,-0.2,0.1,3,3.983,,,,,,T1,,13
Experiment,0.3,0.45,0.3,0.1,2,4.059,,,,,,T1,,13
Experiment,-0.2,0.02,-0.2,0.1,4,5.445,,,,,,T1,,13
Diversion,0.2,0.1,0.2,0.45,5,4.65,,,,,,T1,,14
Experiment,0.3,0.45,0.3,0.1,2,3.462,,,,,,T1,,14
Experiment,-0.3,0.45,-0.3,0.1,3,4.094,,,,,,T1,,14
Experiment,-0.1,0.45,-0.1,0.1,2,3.48,,,,,,T1,,14
Experiment,0.2,0.02,0.2,0.1,3,5.004,,,,,,T1,,14
Experiment,0.0,0.02,0.0,0.1,2,5.458,,,,,,T1,,14
Experiment,0.1,0.45,0.1,0.1,2,5.293,,,,,,T1,,14
Control,0.2,0.1,-0.1,0.1,2,5.068,,,,,,T1,,14
Control,0.2,0.1,-0.1,0.1,3,4.657,,,,,,T1,,14
Experiment,-0.2,0.45,-0.2,0.1,2,4.35,,,,,,T1,,14
Experiment,0.1,0.02,0.1,0.1,3,5.347,,,,,,T1,,14
Experiment,0.0,0.45,0.0,0.1,3,4.567,,,,,,T1,,14
Experiment,0.2,0.45,0.2,0.1,3,4.553,,,,,,T1,,14
Experiment,0.0,0.45,0.0,0.1,3,4.681,,,,,,T1,,14
Experiment,-0.1,0.02,-0.1,0.1,3,5.856,,,,,,T1,,14
Experiment,0.0,0.02,0.0,0.1,4,3.925,,,,,,T1,,14
Control,0.2,0.1,-0.1,0.1,3,4.64,,,,,,T1,,14
Experiment,-0.3,0.02,-0.3,0.1,3,5.332,,,,,,T1,,14
Experiment,0.3,0.02,0.3,0.1,4,5.505,,,,,,T1,,14
Experiment,-0.2,0.02,-0.2,0.1,3,5.652,,,,,,T1,,14
Control,0.2,0.1,-0.1,0.1,4,6.545,,,,,,T1,,14
Experiment,-0.1,0.45,-0.1,0.1,1,2.58,,,,,,T1,,15
Experiment,0.3,0.02,0.3,0.1,2,2.751,,,,,,T1,,15
Experiment,-0.1,0.02,-0.1,0.1,3,3.14,,,,,,T1,,15
Experiment,0.0,0.02,0.0,0.1,3,3.671,,,,,,T1,,15
Experiment,-0.2,0.02,-0.2,0.1,2,3.305,,,,,,T1,,15
Experiment,0.3,0.45,0.3,0.1,2,2.862,,,,,,T1,,15
Experiment,-0.2,0.45,-0.2,0.1,2,2.345,,,,,,T1,,15
Control,0.1,0.1,0.2,0.1,2,2.613,,,,,,T1,,15
Control,0.1,0.1,0.2,0.1,2,3.054,,,,,,T1,,15
Experiment,0.2,0.45,0.2,0.1,1,2.865,,,,,,T1,,15
Experiment,0.1,0.02,0.1,0.1,3,2.787,,,,,,T1,,15
Experiment,-0.3,0.02,-0.3,0.1,3,2.235,,,,,,T1,,15
Experiment,0.0,0.45,0.0,0.1,1,2.337,,,,,,T1,,15
Experiment,0.0,0.02,0.0,0.1,3,2.32,,,,,,T1,,15
Experiment,0.0,0.45,0.0,0.1,2,2.119,,,,,,T1,,15
Control,0.1,0.1,0.2,0.1,3,4.107,,,,,,T1,,15
Experiment,0.2,0.02,0.2,0.1,4,2.449,,,,,,T1,,15
Control,0.1,0.1,0.2,0.1,3,2.671,,,,,,T1,,15
Experiment,-0.3,0.45,-0.3,0.1,2,2.605,,,,,,T1,,15
Diversion,0.1,0.1,0.1,0.45,5,2.08,,,,,,T1,,15
Experiment,0.1,0.45,0.1,0.1,1,2.392,,,,,,T1,,15
Experiment,0.1,0.45,0.1,0.1,3,2.487,,,,,,T1,,16
Experiment,0.0,0.45,0.0,0.1,1,2.473,,,,,,T1,,16
Experiment,0.0,0.45,0.0,0.1,2,3.492,,,,,,T1,,16
Experiment,-0.1,0.45,-0.1,0.1,2,2.411,,,,,,T1,,16
Experiment,0.1,0.02,0.1,0.1,3,2.617,,,,,,T1,,16
Experiment,-0.2,0.45,-0.2,0.1,2,2.951,,,,,,T1,,16
Experiment,-0.1,0.02,-0.1,0.1,3,2.864,,,,,,T1,,16
Experiment,0.3,0.02,0.3,0.1,3,3.351,,,,,,T1,,16
Diversion,-0.3,0.1,-0.3,0.45,5,2.12,,,,,,T1,,16
Experiment,-0.3,0.45,-0.3,0.1,2,2.315,,,,,,T1,,16
Experiment,-0.2,0.02,-0.2,0.1,2,2.208,,,,,,T1,,16
Control,-0.3,0.1,-0.3,0.1,3,3.247,,,,,,T1,,16
Experiment,0.0,0.02,0.0,0.1,2,3.211,,,,,,T1,,16
Experiment,-0.3,0.02,-0.3,0.1,3,4.039,,,,,,T1,,16
Control,-0.3,0.1,-0.3,0.1,3,2.591,,,,,,T1,,16
Control,-0.3,0.1,-0.3,0.1,4,3.315,,,,,,T1,,16
Experiment,0.2,0.02,0.2,0.1,3,4.671,,,,,,T1,,16
Experiment,0.0,0.02,0.0,0.1,2,3.456,,,,,,T1,,16
Experiment,0.2,0.45,0.2,0.1,2,3.354,,,,,,T1,,16
Experiment,0.3,0.45,0.3,0.1,2,2.92,,,,,,T1,,16
Control,-0.3,0.1,-0.3,0.1,2,3.173,,,,,,T1,,16
Diversion,0.0,0.1,0.0,0.45,5,4.39,,,,,,T1,,17
Control,0.0,0.1,0.2,0.1,2,6.07,,,,,,T1,,17
Experiment,0.0,0.45,0.0,0.1,1,8.863,,,,,,T1,,17
Experiment,-0.1,0.02,-0.1,0.1,3,4.234,,,,,,T1,,17
Experiment,-0.2,0.02,-0.2,0.1,2,7.645,,,,,,T1,,17
Experiment,0.0,0.02,0.0,0.1,3,8.618,,,,,,T1,,17
Experiment,0.0,0.02,0.0,0.1,3,13.623,,,,,,T1,,17
Experiment,-0.1,0.45,-0.1,0.1,3,11.549,,,,,,T1,,17
Experiment,0.2,0.45,0.2,0.1,1,10.558,,,,,,T1,,17
Experiment,-0.3,0.02,-0.3,0.1,3,8.291,,,,,,T1,,17
Experiment,0.0,0.45,0.0,0.1,2,11.919,,,,,,T1,,17
Experiment,0.1,0.02,0.1,0.1,2,8.163,,,,,,T1,,17
Experiment,-0.2,0.45,-0.2,0.1,3,8.797,,,,,,T1,,17
Control,0.0,0.1,0.2,0.1,3,9.325,,,,,,T1,,17
Experiment,-0.3,0.45,-0.3,0.1,2,11.073,,,,,,T1,,17
Experiment,0.2,0.02,0.2,0.1,2,8.602,,,,,,T1,,17
Control,0.0,0.1,0.2,0.1,2,13.08,,,,,,T1,,17
Control,0.0,0.1,0.2,0.1,3,8.91,,,,,,T1,,17
Experiment,0.1,0.45,0.1,0.1,2,4.945,,,,,,T1,,17
Experiment,0.3,0.45,0.3,0.1,2,9.007,,,,,,T1,,17
Experiment,0.3,0.02,0.3,0.1,2,13.477,,,,,,T1,,17
Experiment,0.2,0.45,0.2,0.1,4,4.592,,,,,,T1,,18
Experiment,-0.2,0.45,-0.2,0.1,4,4.804,,,,,,T1,,18
Experiment,-0.3,0.02,-0.3,0.1,5,5.32,,,,,,T1,,18
Diversion,-0.1,0.1,-0.1,0.45,5,5.542,,,,,,T1,,18
Control,-0.1,0.1,0.0,0.1,3,7.258,,,,,,T1,,18
